time,open,high,low,close
2025-02-03 21:08:00,192.035,192.068,192.02,192.066
2025-02-03 21:09:00,192.066,192.094,192.066,192.085
2025-02-03 21:10:00,192.086,192.146,192.074,192.131
2025-02-03 21:11:00,192.131,192.132,192.101,192.113
2025-02-03 21:12:00,192.106,192.154,192.106,192.132
2025-02-03 21:13:00,192.137,192.176,192.135,192.166
2025-02-03 21:14:00,192.19,192.218,192.18,192.206
2025-02-03 21:15:00,192.206,192.215,192.187,192.194
2025-02-03 21:16:00,192.196,192.197,192.161,192.167
2025-02-03 21:17:00,192.167,192.186,192.142,192.186
2025-02-03 21:18:00,192.186,192.186,192.143,192.143
2025-02-03 21:19:00,192.146,192.197,192.142,192.197
2025-02-03 21:20:00,192.202,192.251,192.187,192.238
2025-02-03 21:21:00,192.238,192.253,192.215,192.225
2025-02-03 21:22:00,192.228,192.228,192.185,192.191
2025-02-03 21:23:00,192.19,192.234,192.188,192.201
2025-02-03 21:24:00,192.201,192.211,192.187,192.197
2025-02-03 21:25:00,192.197,192.197,192.162,192.168
2025-02-03 21:26:00,192.166,192.188,192.152,192.155
2025-02-03 21:27:00,192.165,192.196,192.157,192.161
2025-02-03 21:28:00,192.163,192.183,192.157,192.174
2025-02-03 21:29:00,192.173,192.186,192.157,192.158
2025-02-03 21:30:00,192.164,192.182,192.159,192.173
2025-02-03 21:31:00,192.166,192.222,192.166,192.187
2025-02-03 21:32:00,192.187,192.211,192.173,192.203
2025-02-03 21:33:00,192.206,192.208,192.179,192.187
2025-02-03 21:34:00,192.189,192.205,192.184,192.19
2025-02-03 21:35:00,192.189,192.19,192.145,192.148
2025-02-03 21:36:00,192.149,192.16,192.126,192.126
2025-02-03 21:37:00,192.13,192.149,192.068,192.071
2025-02-03 21:38:00,192.07,192.072,192.035,192.069
2025-02-03 21:39:00,192.067,192.075,192.059,192.061
2025-02-03 21:40:00,192.062,192.071,192.048,192.057
2025-02-03 21:41:00,192.058,192.097,192.058,192.071
2025-02-03 21:42:00,192.071,192.082,192.055,192.063
2025-02-03 21:43:00,192.067,192.067,192.052,192.057
2025-02-03 21:44:00,192.063,192.073,192.051,192.051
2025-02-03 21:45:00,192.053,192.07,192.036,192.061
2025-02-03 21:46:00,192.062,192.064,192.02,192.024
2025-02-03 21:47:00,192.025,192.033,192.005,192.022
2025-02-03 21:48:00,192.023,192.059,192.023,192.046
2025-02-03 21:49:00,192.046,192.048,192.016,192.024
2025-02-03 21:50:00,192.025,192.035,192.014,192.015
2025-02-03 21:51:00,192.017,192.018,191.986,191.994
2025-02-03 21:52:00,191.994,192.004,191.985,191.997
2025-02-03 21:53:00,191.989,192.011,191.986,192.007
2025-02-03 21:54:00,192.007,192.017,191.99,191.99
2025-02-03 21:55:00,191.992,191.992,191.958,191.974
2025-02-03 21:56:00,191.975,191.978,191.927,191.932
2025-02-03 21:57:00,191.93,191.943,191.89,191.892
2025-02-03 21:58:00,191.893,191.928,191.889,191.922
2025-02-03 21:59:00,191.918,191.981,191.916,191.979
2025-02-03 22:00:00,191.982,191.987,191.895,191.902
2025-02-03 22:01:00,191.907,191.92,191.896,191.91
2025-02-03 22:02:00,191.913,191.92,191.894,191.897
2025-02-03 22:03:00,191.896,191.916,191.882,191.916
2025-02-03 22:04:00,191.914,191.933,191.905,191.905
2025-02-03 22:05:00,191.907,191.912,191.887,191.899
2025-02-03 22:06:00,191.9,191.907,191.892,191.895
2025-02-03 22:07:00,191.895,191.915,191.895,191.911
2025-02-03 22:08:00,191.907,191.918,191.899,191.899
2025-02-03 22:09:00,191.898,191.929,191.898,191.928
2025-02-03 22:10:00,191.92,191.93,191.904,191.923
2025-02-03 22:11:00,191.927,191.935,191.886,191.886
2025-02-03 22:12:00,191.882,191.925,191.882,191.924
2025-02-03 22:13:00,191.925,191.962,191.916,191.954
2025-02-03 22:14:00,191.957,191.969,191.926,191.945
2025-02-03 22:15:00,191.943,191.944,191.881,191.903
2025-02-03 22:16:00,191.904,191.933,191.904,191.932
2025-02-03 22:17:00,191.934,191.953,191.927,191.947
2025-02-03 22:18:00,191.948,191.963,191.944,191.947
2025-02-03 22:19:00,191.945,191.97,191.94,191.965
2025-02-03 22:20:00,191.956,192.0,191.941,191.991
2025-02-03 22:21:00,191.986,192.004,191.978,192.003
2025-02-03 22:22:00,192.001,192.008,191.992,191.992
2025-02-03 22:23:00,191.999,191.999,191.96,191.974
2025-02-03 22:24:00,191.974,191.983,191.954,191.979
2025-02-03 22:25:00,191.977,191.977,191.956,191.958
2025-02-03 22:26:00,191.957,191.957,191.897,191.897
2025-02-03 22:27:00,191.9,191.909,191.883,191.891
2025-02-03 22:28:00,191.892,191.911,191.884,191.899
2025-02-03 22:29:00,191.902,191.908,191.839,191.852
2025-02-03 22:30:00,191.854,191.854,191.829,191.846
2025-02-03 22:31:00,191.848,191.858,191.8,191.815
2025-02-03 22:32:00,191.819,191.838,191.813,191.835
2025-02-03 22:33:00,191.837,191.873,191.837,191.866
2025-02-03 22:34:00,191.868,191.883,191.868,191.879
2025-02-03 22:35:00,191.874,191.884,191.843,191.88
2025-02-03 22:36:00,191.88,191.904,191.869,191.904
2025-02-03 22:37:00,191.904,191.94,191.891,191.928
2025-02-03 22:38:00,191.931,191.94,191.919,191.93
